data,AVG,119,A13,ANHOL,B1,BO3,BY1,BY15,BY2,BY29,BY31,BY38,K,LL3A,LL7,N14,P1,P104,P116,BCSIII10,BY5,PL-R4,REFM1,SR5,US5B,ZN4,FOE-BHB,KATTEG_4,DMU_905,VSJ_20925,OMIOW4,FOE-B11,OMBMPK3,OMREGION1,W_BORNHOL,BY7,FOE-B14,BY10,BY39,FOE-BP3,121,BY17,F80,BY32,LL17,HANKO_2,KAS-11,SJA772,LOS-15,F64,PORI_1,US2,F18,F3,SR1A,FOE-B03,OMTF0018,FOE-B01,FYN_67,ÖRESUND_2,E_BORNH
01.01.2001,3.433,3.239,0.254,3.945,2.919,0.845,4.761,4.741,5.473,4.103,3.678,4.197,4.365,1.484,2.04,3.526,5.392,4.183,5.005,5.945,5.488,4.293,3.044,3.79,3.355,4.736,5.923,4.157,4.315,3.8,4.734,5.368,3.953,4.372,5.828,5.733,5.302,5.513,4.246,5.436,3.097,4.635,4.197,4.178,4.281,2.531,0.975,3.053,0.398,3.2,3.367,2.855,2.583,0.346,2.957,5.589,3.724,3.657,3.543,3.201,4.664
01.02.2001,2.273,1.936,0.161,2.051,2.034,0.277,3.371,3.599,3.491,3.079,2.501,3.183,3.455,0.578,0.937,1.69,3.98,3.468,3.978,4.508,4.159,3.134,2.273,1.728,1.044,3.686,3.912,2.26,2.538,2.614,3.115,3.253,3.099,3.117,4.146,4.15,4.226,3.959,3.132,3.588,1.891,3.393,3.255,2.911,2.639,1.459,0.35,1.767,0.574,1.827,0.966,0.733,0.004,0.011,1.587,4.182,2.701,2.667,2.661,2.402,3.58
01.03.2001,1.714,0.985,0.028,2.464,1.419,0.05,2.898,2.78,2.854,1.819,1.691,2.675,3.176,0.067,0.319,2.298,3.368,2.848,3.232,3.489,3.199,3.057,1.932,0.383,0.125,3.106,2.803,2.616,2.685,2.603,2.814,2.817,2.834,2.91,3.061,3.219,3.381,3.375,2.502,2.736,0.961,2.883,2.585,2.098,1.527,0.534,0.069,1.051,0.202,0.573,0.401,0.048,-0.051,0.029,0.369,3.341,2.721,2.733,2.555,2.285,2.84
01.04.2001,3.349,3.043,1.097,4.914,3.826,1.101,3.884,3.879,3.84,3.204,3.599,4.022,5.246,2.116,2.372,4.981,4.401,4.731,4.57,4.291,4.07,4.723,4.162,1.627,1.336,4.557,4.027,4.945,4.977,5.044,3.945,3.852,4.326,4.014,4.014,4.224,4.274,4.066,4.067,3.921,2.803,3.689,3.865,3.674,3.014,2.598,1.88,2.794,2.764,2.425,1.331,1.38,1.172,0.793,1.249,4.137,4.65,4.826,4.679,4.941,4.076
01.05.2001,7.459,8.506,2.98,10.771,7.978,2.799,8.889,7.1,8.726,6.932,7.31,7.706,9.929,6.472,6.625,10.984,8.815,8.719,9.467,7.554,7.971,8.545,9.487,4.019,4.257,8.307,8.1,10.265,10.51,10.686,8.881,8.937,8.998,8.855,7.897,7.748,7.344,7.313,7.573,8.538,8.048,7.16,7.17,7.382,6.82,6.489,6.261,7.285,7.344,5.535,3.928,4.806,5.155,2.606,3.827,8.297,10.463,10.944,10.559,10.878,7.656
01.06.2001,11.859,13.683,7.972,13.966,11.823,7.658,12.758,11.979,12.825,11.588,12.226,12.178,14.14,11.486,11.52,14.099,12.38,13.813,12.652,12.243,12.578,13.393,12.646,9.109,9.092,13.398,12.589,13.581,13.8,13.967,13.09,12.89,13.002,12.823,12.595,12.346,12.136,12.014,11.196,13.074,13.23,12.135,11.96,12.063,11.442,11.303,11.499,11.634,12.368,9.72,8.902,9.549,9.352,8.438,9.714,12.566,14.415,14.502,14.161,14.599,12.198
01.07.2001,17.816,20.597,13.377,19.011,17.53,13.99,18.258,18.587,18.206,18.133,17.842,18.186,19.545,19.032,18.364,19.429,18.306,19.088,18.46,18.355,18.327,18.308,18.475,16.118,15.334,18.406,18.033,18.558,18.7,18.785,18.127,18.252,18.382,18.328,18.234,18.262,18.547,18.687,17.37,19.219,20.454,18.726,18.412,18.264,18.012,18.404,19.053,18.077,19.398,16.028,15.862,14.549,15.413,14.606,15.4,18.336,18.746,19.01,18.753,19.147,18.476
01.08.2001,17.279,19.521,13.565,18.24,15.286,13.33,17.918,17.976,17.494,17.38,16.304,17.154,20.064,17.468,17.655,18.491,19.044,19.925,19.425,18.268,17.925,19.243,16.151,16.32,14.835,19.56,17.657,17.618,17.849,18.271,17.957,18.117,18.549,18.011,17.947,18.339,17.905,18.074,14.532,19.199,19.21,18.378,17.769,17.63,17.416,17.728,17.567,18.275,18.285,16.066,16.145,14.651,15.334,14.131,15.018,18.585,19.034,19.062,18.421,18.357,17.762
01.09.2001,14.571,15.289,11.992,15.331,14.632,12.015,14.876,14.693,14.732,14.404,14.248,14.347,16.55,14.46,14.884,15.508,15.685,16.607,16.064,14.648,14.719,15.802,14.705,13.714,13.031,16.533,14.492,14.973,15.148,15.591,15.016,15.103,15.036,14.928,14.759,15.244,14.288,14.346,14.408,15.988,15.123,14.939,14.559,14.463,14.879,15.416,14.994,14.374,14.744,14.163,14.088,12.933,13.862,12.48,12.751,15.539,16.012,16.076,15.769,15.255,14.605
01.10.2001,11.569,11.97,8.791,12.761,10.628,8.748,12.978,11.919,12.798,11.974,11.259,11.68,13.187,11.094,11.571,12.515,13.07,12.869,13.174,11.864,12.335,12.635,12.135,9.987,10.113,12.616,12.492,12.484,12.619,12.896,12.845,12.759,12.905,12.799,12.498,12.546,11.663,11.764,11.836,13.512,12.087,12.306,11.342,11.568,12.149,12.286,10.969,11.893,11.036,10.885,10.254,10.165,10.9,9.031,11.077,13.021,13.412,13.658,13.247,12.634,12.143
