date,AVG,119,A13,ANHOL,B1,BO3,BY1,BY15,BY2,BY29,BY31,BY38,K,LL3A,LL7,N14,P1,P104,P116,BCSIII10,BY5,PL-R4,REFM1,SR5,US5B,ZN4,FOE-BHB,KATTEG_4,DMU_905,VSJ_20925,OMIOW4,FOE-B11,OMBMPK3,OMREGION1,W_BORNHOL,BY7,FOE-B14,BY10,BY39,FOE-BP3,121,BY17,F80,BY32,LL17,HANKO_2,KAS-11,SJA772,LOS-15,F64,PORI_1,US2,F18,F3,SR1A,FOE-B03,OMTF0018,FOE-B01,FYN_67,ÖRESUND_2,E_BORNH
01.01.2003,0.387,0.105,0.1,0.799,0.113,0.1,0.692,0.147,0.384,0.109,0.922,0.907,0.22,0.1,0.1,0.812,0.149,0.265,0.167,0.115,0.605,0.21,0.526,0.1,0.1,0.169,0.528,0.565,1.194,0.653,0.647,0.51,0.494,0.362,0.395,0.428,0.592,0.123,0.5,0.624,0.116,0.205,0.607,0.724,0.1,0.1,0.1,0.1,0.102,0.1,0.1,0.1,0.1,0.1,0.1,0.518,0.545,0.488,0.632,0.496,0.437
01.02.2003,0.995,0.114,0.1,2.465,0.198,0.1,2.298,1.18,2.283,0.968,1.378,0.89,1.247,0.106,0.111,2.399,0.828,1.519,0.857,1.13,1.202,0.805,1.766,0.105,0.103,1.015,1.082,3.594,3.481,2.37,2.079,2.428,1.85,1.765,1.427,1.027,1.097,0.97,0.905,0.989,0.106,0.899,1.317,1.491,0.565,0.111,0.104,0.111,0.119,0.171,0.103,0.193,0.103,0.1,1.273,1.269,2.615,3.435,2.534,2.649,0.919
01.03.2003,2.076,0.536,0.104,3.255,2.358,0.102,3.757,2.174,4.107,1.811,1.649,2.159,7.676,0.543,0.753,2.658,3.305,6.805,3.519,2.789,3.285,3.24,4.61,1.915,0.183,3.832,2.897,3.356,3.639,3.274,3.672,3.941,3.358,3.833,3.073,2.573,2.42,2.464,2.911,3.796,0.431,1.825,1.701,1.715,1.665,0.841,0.386,1.085,2.066,1.36,0.114,1.257,0.217,0.101,1.502,2.844,3.848,3.256,3.877,4.447,2.839
01.04.2003,3.092,9.329,0.203,1.559,3.926,0.184,1.891,3.874,1.984,3.798,2.5,2.36,8.81,5.869,5.802,1.569,3.582,8.336,4.457,2.581,2.327,3.93,2.963,2.52,2.195,5.864,2.413,1.546,1.588,1.689,2.095,1.799,2.144,1.939,2.29,2.648,3.064,2.896,3.004,3.402,4.085,2.955,2.934,2.408,3.47,3.672,5.212,5.984,7.438,3.329,1.94,2.13,2.431,0.226,3.134,2.309,1.922,1.812,1.819,2.165,2.736
01.05.2003,2.708,6.141,2.7,1.965,2.512,1.091,1.615,2.02,1.866,2.322,2.16,1.746,5.845,11.025,6.575,2.097,1.738,4.033,1.95,2.408,1.54,2.869,2.276,2.499,3.705,2.864,1.553,1.949,1.656,1.656,1.58,1.727,1.649,1.535,1.516,1.83,2.059,2.004,1.875,2.315,5.624,2.057,2.287,2.288,2.363,3.498,6.674,6.497,2.975,3.087,3.147,3.528,4.893,1.611,3.032,1.587,2.012,1.565,1.74,2.824,1.667
01.06.2003,2.271,5.104,2.899,1.154,3.563,3.131,1.422,2.113,1.557,2.1,1.971,1.965,4.274,3.526,2.937,1.14,1.945,4.795,2.831,2.077,1.706,2.487,3.647,2.383,2.57,2.522,1.568,1.625,1.474,1.203,1.389,1.573,1.651,1.587,1.673,1.852,2.069,2.256,1.78,1.976,3.038,2.106,2.148,2.057,2.094,2.297,2.581,3.25,2.432,2.535,2.551,2.627,2.935,2.678,2.322,1.603,1.672,1.258,1.252,1.97,1.8
01.07.2003,2.331,3,2.876,1.143,6.387,3.162,1.434,2.814,1.681,3.046,2.426,2.494,4.557,2.896,2.452,1.266,2.419,3.226,2.605,1.957,1.56,2.005,2.947,1.806,1.851,2.68,1.488,1.295,1.246,1.235,1.478,1.628,1.903,1.898,1.488,1.717,2.081,2.585,2.519,2.713,2.588,3.028,3.061,2.574,2.416,2.043,2.255,3.645,3.327,2.206,1.861,1.89,2.377,3.213,1.905,1.684,2.573,1.258,1.355,2.932,1.675
01.08.2003,2.2,3.915,2.671,1.237,4.832,2.634,1.716,2.555,1.848,2.321,2.624,2.087,2.726,2.72,2.84,1.207,1.955,2.296,2.102,1.903,1.81,2.048,2.788,1.825,2.102,2.103,1.668,1.215,1.188,1.387,1.654,1.657,1.664,1.743,1.754,1.936,2.043,2.214,2.185,2.841,3.605,2.335,2.354,2.458,2.175,2.343,2.486,3.766,1.766,2.112,2.085,1.934,2.178,2.374,2.099,1.715,1.669,1.507,1.449,1.718,1.925
01.09.2003,1.949,3.178,2.997,1.229,3.429,2.587,1.644,1.434,1.923,1.792,1.901,1.424,2.209,2.73,2.478,1.287,1.417,1.833,1.467,1.42,1.418,1.395,1.824,1.853,2.27,1.763,1.356,1.178,1.156,1.146,1.681,1.728,1.582,1.589,1.337,1.539,1.397,1.426,1.396,1.588,3.001,1.717,1.452,1.562,1.814,2.083,2.743,1.936,1.519,2.309,2.02,1.954,2.641,2.117,2.264,1.446,1.619,1.243,1.294,1.959,1.488
01.10.2003,2.343,2.9,2.685,1.572,4.731,1.025,2.007,2.245,2.101,2.457,2.197,2.187,2.02,2.634,3.49,2.029,2.311,2.625,2.381,1.588,1.704,2.536,3.193,1.995,2.314,2.092,2.129,1.696,1.437,1.613,1.792,2.568,3.195,2.348,1.896,2.326,1.734,2.017,2.556,1.288,4.556,1.921,2.02,1.833,2.223,2.537,2.625,2.883,2.388,2.524,1.424,2.82,3.178,1.011,2.977,2.226,1.526,1.699,2.023,2.075,2.304
